Station_Name,Latitude,Longitude
RAJDHANI PARK,28.6822794,77.044007
MUNDKA,28.68239,77.03034
MUNDKA INDUSTRIAL AREA (MIA),28.68343,77.01715000000002
GHEVRA METRO STATION,28.685237,76.996104
TIKRI KALAN,28.68688,76.97726999999999
TIKRI BORDER,28.6880203,76.9640989
PANDIT SHREE RAM SHARMA,28.689242,76.95114699999999
BAHADURGARH CITY,28.69074,76.93538
BRIG. HOSHIAR SINGH,28.69741,76.91927
KASHMERE GATE,28.66747,77.22824
LAL QUILA,28.6568551,77.2368125
JAMA MASJID,28.64955,77.23801999999999
DELHI GATE,28.64008,77.24051
ITO,28.62839,77.24118
MANDI HOUSE,28.62569,77.23375999999999
JANPATH,28.625061,77.219184
CENTRAL SECRETARIAT,28.6151511,77.21226349999999
KHAN MARKET,28.602151,77.229019
JLN STADIUM,28.589363,77.23356199999999
JANGPURA,28.583698,77.238436
LAJPAT NAGAR,28.5705572,77.2364498
MOOLCHAND,28.564012,77.234245
KAILASH COLONY,28.5553874,77.2419541
NEHRU PLACE,28.551403,77.2517658
KALKAJI MANDIR,28.54945,77.25922
GOVIND PURI,28.5444,77.26435
HARKESH NAGAR OKHLA,28.54292,77.27503999999999
JASOLA-APOLLO,28.53813,77.2833
SARITA VIHAR,28.52873,77.28822
MOHAN ESTATE,28.51952,77.29455999999999
TUGHLAKABAD STATION,28.50254,77.2993
BADARPUR BORDER,28.49325,77.30297
SARAI,28.47807,77.3049
NHPC CHOWK,28.4577014,77.30744279999999
MEWALA MAHARAJPUR,28.448566,77.308055
SECTOR-28,28.43801,77.30899
BADKAL MOR,28.4227532,77.31035729999999
OLD FARIDABAD,28.4107712,77.31150749999999
NEELAM CHOWK AJRONDA,28.397668,77.312365
BATA CHOWK,28.38599,77.31342
ESCORTS MUJESAR,28.37016,77.31493999999999
SANT SURDAS (SIHI),28.354758059090457,77.31620099549983
RAJA NAHAR SINGH (BALLABHGARH),28.339801,77.316446
MAJLIS PARK,28.72416,77.18205
AZADPUR,28.70702,77.18052
SHALIMAR BAGH,28.701819,77.165191
NETAJI SUBHASH PLACE,28.69605,77.15259
SHAKURPUR,28.685779,77.149626
PUNJABI BAGH WEST,28.67274,77.13918
ESI-BASAIDARAPUR,28.65816,77.12732
RAJOURI GARDEN,28.649019,77.122705
MAYAPURI,28.637099,77.129741
NARAINA VIHAR,28.624125,77.136488
DELHI CANTT.,28.60878,77.14034
DURGABAI DESHMUKH SOUTH CAMPUS,28.58938,77.16951999999999
SIR M. VISHWESHWARAIAH MOTI BAGH,28.578504,77.175726
BHIKAJI CAMA PLACE,28.570211,77.187888
SAROJINI NAGAR,28.575807,77.198571
DILLI HAAT - INA,28.5744494,77.2096224
SOUTH EXTENSION,28.568611,77.220265
LAJPAT NAGAR,28.5705572,77.2364498
VINOBAPURI,28.565944,77.250502
ASHRAM,28.5721653,77.2585096
SARAI KALE KHAN - NIZAMUDDIN,28.58936,77.25712999999999
MAYUR VIHAR -I,28.6042259,77.289608
MAYUR VIHAR POCKET-1,28.6057944,77.2987035
TRILOKPURI-SANJAY LAKE,28.61359,77.30884
EAST VINOD NAGAR-MAYUR VIHAR -II,28.620057,77.30527
MANDAWALI - WEST VINOD NAGAR,28.624877,77.304372
I.P. EXTENSION,28.6319356,77.31075659999999
ANAND VIHAR ISBT,28.6469527,77.3159156
KARKARDUMA,28.64849,77.30557999999999
KARKARDUMA COURT,28.65359,77.29558999999999
KRISHNA NAGAR,28.65804,77.29003
EAST AZAD NAGAR,28.66479,77.28479999999999
WELCOME,28.6717615,77.27765889999999
JAFRABAD,28.6827585,77.2747474
MAUJPUR-BABARPUR,28.6921031,77.279612
GOKULPURI,28.70241,77.28598
JOHRI ENCLAVE,28.71318,77.29006
SHIV VIHAR,28.7216122,77.2894938
KRISHNA PARK EXTENSION,28.6478,77.08475
JANAKPURI WEST,28.62947,77.07777
DABRI MOR - JANAKPURI SOUTH,28.615906,77.085257
DASHRATHPURI,28.60235,77.08254
PALAM,28.58907,77.08296
SADAR BAZAR CANTONMENT,28.57711,77.1113
TERMINAL 1-IGI AIRPORT,28.5653,77.12238099999999
SHANKAR VIHAR,28.5608126,77.140345
VASANT VIHAR,28.557829,77.16099000000001
MUNIRKA,28.5578944,77.173968
R.K.PURAM,28.5503497,77.18514859999999
IIT,28.547199,77.193817
HAUZ KHAS,28.5439504,77.2062395
PANCHSHEEL PARK,28.542338,77.220507
CHIRAG DELHI,28.541227,77.229382
GREATER KAILASH,28.541832,77.238247
NEHRU ENCLAVE,28.5458514,77.251167
KALKAJI MANDIR,28.54945,77.25922
OKHLA NSIC,28.5544259,77.2648833
SUKHDEV VIHAR,28.5597744,77.2751248
JAMIA MILLIA ISLAMIA,28.56295,77.28622
OKHLA VIHAR,28.56109,77.29189
JASOLA VIHAR SHAHEEN BAGH,28.5459783,77.29664679999999
KALINDI KUNJ,28.542835,77.310175
OKHLA BIRD SANCTUARY,28.5528635,77.3216503
BOTANICAL GARDEN,28.5640331,77.33427999999999
DWARKA,28.61492,77.02271999999999
NANGLI,28.617239,77.0104
NAJAFGARH,28.6126772,76.98654270000002
DHANSA BUS STAND,28.6119,76.978
NEW DELHI (Yellow & Airport Line),28.557170869826095, 77.08605704382299
SHIVAJI STADIUM,28.628783435216313, 77.21141957362788
DHAULA KUAN,28.59189,77.16167
DELHI AEROCITY,28.54888,77.12077
AIRPORT (T-3),28.55709,77.08684
DWARKA SECTOR - 21,28.5522057,77.0583048
YASHOBHOOMI DWARKA SECTOR - 25,28.55105,77.04538
SECTOR 55-56,28.42341,77.1052
SECTOR-54 CHOWK,28.432883,77.1049802
SECTOR-53-54,28.4464177,77.1004521
SECTOR-42-43,28.45743,77.09694
PHASE-1,28.4713,77.09389999999999
SIKANDERPUR,28.48131,77.09312
PHASE-2,28.48761,77.09286999999999
BELVEDERE TOWERS,28.49164,77.08821999999999
CYBER CITY,28.49797,77.08918
MOULSARI AVENUE,28.5008186,77.09458529999999
PHASE-3,28.49368,77.09342
