Station1,Station2,Distance_km,Time_min
JANAKPURI WEST,JANAKPURI EAST,1.349,10.233333333333333
JANAKPURI EAST,TILAK NAGAR,1.196,4.933333333333334
TILAK NAGAR,SUBHASH NAGAR,0.977,3.8
SUBHASH NAGAR,TAGORE GARDEN,1.043,6.333333333333333
TAGORE GARDEN,RAJOURI GARDEN,1.315,7.233333333333333
RAJOURI GARDEN,RAMESH NAGAR,1.138,6.466666666666667
RAMESH NAGAR,MOTI NAGAR,1.433,7.516666666666667
MOTI NAGAR,KIRTI NAGAR,1.042,5.183333333333334
KIRTI NAGAR,SHADIPUR,0.98,5.116666666666666
SHADIPUR,PATEL NAGAR,1.53,7.766666666666667
PATEL NAGAR,RAJENDRA PLACE,1.133,6.533333333333333
RAJENDRA PLACE,KAROL BAGH,1.161,6.333333333333333
KAROL BAGH,JHANDEWALAN,1.272,6.166666666666667
JHANDEWALAN,RAMAKRISHNA ASHRAM MARG,1.197,6.883333333333334
RAMAKRISHNA ASHRAM MARG,RAJIV CHOWK,1.744,9.633333333333333
RAJIV CHOWK,BARAKHAMBA ROAD,0.928,8.95
BARAKHAMBA ROAD,MANDI HOUSE,1.319,7.25
MANDI HOUSE,SUPREME COURT,1.043,6.733333333333333
SUPREME COURT,INDRAPRASTHA,1.113,8.6
INDRAPRASTHA,YAMUNA BANK,2.221,10.583333333333334
YAMUNA BANK,AKSHARDHAM,1.604,4.85
AKSHARDHAM,MAYUR VIHAR -I,2.027,8.133333333333333
MAYUR VIHAR -I,MAYUR VIHAR EXTENSION,1.547,8.45
MAYUR VIHAR EXTENSION,NEW ASHOK NAGAR,1.256,7.8
NEW ASHOK NAGAR,NOIDA SECTOR-15,1.364,6.9
NOIDA SECTOR-15,NOIDA SECTOR-16,1.096,6.45
NOIDA SECTOR-16,NOIDA SECTOR-18,1.388,7.333333333333333
NOIDA SECTOR-18,BOTANICAL GARDEN,1.437,8.8
BOTANICAL GARDEN,GOLF COURSE,1.767,8.733333333333333
GOLF COURSE,NOIDA CITY CENTRE,1.446,4.766666666666667
NOIDA CITY CENTRE,SECTOR - 34 NOIDA,0.966,1.9833333333333334
SECTOR - 34 NOIDA,SECTOR - 52 NOIDA,1.188,2.033333333333333
SECTOR - 52 NOIDA,SECTOR - 61 NOIDA,1.504,5.016666666666667
SECTOR - 61 NOIDA,SECTOR - 59 NOIDA,1.257,7.716666666666667
SECTOR - 59 NOIDA,SECTOR - 62 NOIDA,1.844,12.733333333333333
SECTOR - 62 NOIDA,NOIDA ELECTRONIC CITY,1.759,10.316666666666666
YAMUNA BANK,LAXMI NAGAR,1.616,8.233333333333333
LAXMI NAGAR,NIRMAN VIHAR,1.267,7.066666666666666
NIRMAN VIHAR,PREET VIHAR,1.209,7.816666666666666
PREET VIHAR,KARKARDUMA,1.451,7.5
KARKARDUMA,ANAND VIHAR ISBT,1.292,7.966666666666667
ANAND VIHAR ISBT,KAUSHAMBI,1.342,10.383333333333333
KAUSHAMBI,VAISHALI,2.063,10.6
KIRTI NAGAR,SATGURU RAM SINGH MARG,1.303,7.183333333333334
SATGURU RAM SINGH MARG,INDERLOK,6.789,28.383333333333333
INDERLOK,ASHOK PARK MAIN,1.689,5.916666666666667
ASHOK PARK MAIN,PUNJABI BAGH,1.146,7.716666666666667
PUNJABI BAGH,PUNJABI BAGH WEST,1.162,10.65
PUNJABI BAGH WEST,SHIVAJI PARK,1.385,11.033333333333333
SHIVAJI PARK,MADIPUR,1.373,8.666666666666666
MADIPUR,PASCHIM VIHAR EAST,0.723,10.533333333333333
PASCHIM VIHAR EAST,PASCHIM VIHAR WEST,1.015,7.7
PASCHIM VIHAR WEST,PEERAGARHI,0.938,13.133333333333333
PEERAGARHI,UDYOG NAGAR,1.359,5.633333333333334
UDYOG NAGAR,MAHARAJA SURAJMAL STADIUM,0.679,9.5
MAHARAJA SURAJMAL STADIUM,NANGLOI,1.174,8.1
NANGLOI,NANGLOI RAILWAY STATION,1.05,6.716666666666667
NANGLOI RAILWAY STATION,RAJDHANI PARK,1.661,11.7
RAJDHANI PARK,MUNDKA,1.697,9.083333333333334
MUNDKA,MUNDKA INDUSTRIAL AREA (MIA),1.323,2.033333333333333
MUNDKA INDUSTRIAL AREA (MIA),GHEVRA METRO STATION,2.088,2.566666666666667
GHEVRA METRO STATION,TIKRI KALAN,1.865,2.5
TIKRI KALAN,TIKRI BORDER,1.423,4.983333333333333
